number,sys_updated_at,reassigned,assigned_to,opened_by,subcategory,urgency,problem_id,resolved_by,location,reassignment_count,cmdb_ci,vendor,caused_by,incident_state,active,u_priority_confirmation,contact_type,rfc,assignment_group,knowledge,priority,closed_code,impact,category,u_symptom,D_sys_mod_count,D_reopen_count
INC0000045,2016-05-03 12:00:00,0,1,236,443,697,1,952,1168,1392,1,1,1,1479,1487,1488,1490,1,1676,1754,1756,1760,1777,1780,1838,2365,2368
INC0000047,2016-06-03 10:00:00,1,2,237,444,697,1,953,1169,1393,1,1,1,1479,1487,1488,1490,1,1678,1754,1756,1760,1777,1781,1839,2366,2368
INC0000057,2016-06-03 03:00:00,0,4,236,445,697,700,954,1170,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1761,1777,1782,1839,2366,2368
INC0000060,2016-07-03 13:00:00,0,5,238,446,697,1,955,1170,1392,1,1,1,1479,1487,1488,1490,1,1679,1754,1756,1762,1777,1783,1840,2365,2368
INC0000062,2016-05-03 16:00:00,1,1,238,447,697,1,956,1171,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1757,1763,1778,1784,1841,2366,2368
INC0000063,2016-05-03 17:00:00,1,1,238,445,697,1,956,1171,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1763,1777,1782,1839,2366,2368
INC0000064,2016-08-03 17:00:00,1,6,239,447,697,1,957,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1764,1777,1784,1842,2366,2368
INC0000065,2016-07-03 16:00:00,1,8,239,449,697,1,958,1172,1398,1,1,1,1479,1487,1488,1490,1,1685,1754,1756,1765,1777,1786,1843,2367,2368
INC0000066,2016-07-03 15:00:00,1,1,240,450,697,1,959,1173,1393,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1760,1777,1780,1,2365,2368
INC0000067,2016-07-03 12:00:00,1,9,238,451,697,1,960,1168,1393,1,1,1,1479,1487,1488,1490,1,1681,1754,1756,1765,1777,1783,1844,2367,2368
INC0000070,2016-08-03 09:55:00,1,3,239,452,697,1,961,1174,1393,1,1,1,1478,1486,1488,1490,1,1687,1754,1756,1766,1777,1783,1845,2366,2368
INC0000071,2016-06-03 11:00:00,0,11,238,452,697,1,962,1173,1392,1,1,1,1479,1487,1488,1490,1,1678,1754,1756,1760,1777,1783,1844,2366,2368
INC0000073,2016-06-03 16:00:00,1,1,241,453,697,700,959,1175,1393,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1766,1777,1784,1844,2366,2368
INC0000074,2016-11-04 14:39:00,0,12,242,454,697,1,963,1170,1392,1,1,1,1478,1486,1489,1490,1495,1688,1754,1756,1764,1777,1786,1,2367,2368
INC0000076,2016-05-03 17:00:00,0,1,238,455,697,1,956,1171,1392,1,1,1,1479,1487,1488,1490,1,1680,1754,1756,1760,1777,1787,1844,2364,2368
INC0000077,2016-05-03 10:00:00,0,1,238,456,697,1,964,1172,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1788,1844,2366,2368
INC0000079,2016-05-03 12:00:00,1,13,238,443,697,1,965,1170,1393,1,1,1,1479,1487,1488,1490,1,1689,1754,1756,1764,1777,1780,1844,2365,2368
INC0000080,2016-07-03 12:00:00,0,1,240,456,697,1,966,1176,1392,1,1,1,1479,1487,1488,1490,1,1677,1754,1756,1764,1777,1788,1847,2366,2368
INC0000083,2016-05-03 17:00:00,1,1,239,452,698,700,956,1171,1393,1,1,1,1479,1487,1488,1490,1,1680,1754,1758,1763,1779,1790,1848,2365,2368
INC0000084,2016-12-04 14:46:00,0,14,242,454,698,1,963,1170,1392,1,1,1,1478,1486,1489,1490,1496,1688,1754,1758,1764,1779,1786,1849,2367,2368
INC0000085,2016-07-03 15:00:00,0,1,238,445,697,700,959,1173,1392,1,1,1,1479,1487,1488,1490,1,1686,1754,1756,1763,1777,1782,1844,2366,2368
